"","venue","show_date","Name","Spotify"
"179","The Salt Shed",2023-10-19,"Pretty Lights","4iVhFmG8YCCEHANGeUUS9q"
"180","Metro",2023-10-19,"Divino Niño","2O2KJngZ80ZTK71HamDNYi"
"181","Metro",2023-10-19,"Victor Internet","6Ib0Di9b3kMxw9yD0DAyAC"
"182","Metro",2023-10-19,"Heartgaze","6r5C5m57jRSpf2xE16ofxH"
"183","The Vic Theatre",2023-10-19,"Ann Wilson","4lPDIYPFDs5gpcToUczJDs"
"184","The Vic Theatre",2023-10-19,"Tripsitter","34NWLW5d4yhwesh4qVJbGk"
"185","Schubas",2023-10-19,"Subsonic Eye","6nRhwtv2bwuDvPijPCjcie"
"186","Schubas",2023-10-19,"Cusp","07nDyiBj44NtwrqJJ54Or8"
"187","Chop Shop",2023-10-19,"HXLT","47ruFU1k0xoHCCEO4AAOXU"
"188","Byline Bank Aragon Ballroom",2023-10-20,"Men I Trust","3zmfs9cQwzJl575W1ZYXeT"
"189","Byline Bank Aragon Ballroom",2023-10-20,"TOPS","2SdK1QDmZIP2hk94rSaLl9"
"190","Radius",2023-10-20,"Carl Cox","19SmlbABtI4bXz864MLqOS"
"191","The Riviera Theatre",2023-10-20,"Stephen Sanchez","5XKFrudbV4IiuE5WuTPRmT"
"192","The Riviera Theatre",2023-10-20,"Stephen Day","4cnFw4bkIWVGKUBsr93OS5"
"193","House of Blues",2023-10-20,"Peter McPoland","23E65IfLBGQv0FBrMwCcG2"
"194","House of Blues",2023-10-20,"Stephen Dawes","3jTU1IOqkO7Mz4zdbXPose"
"195","Schubas",2023-10-20,"Knucks","6W4vm8P3JFQboO4cvHeqaa"
"196","Bottom Lounge",2023-10-20,"Belmont","6hxiY0CFXTibGUtp8TdCxp"
"197","Bottom Lounge",2023-10-20,"Can’t Swim","62elZbH5Iop8UPcChp7OrU"
"198","Metro",2023-10-20,"The National Parks","2JMtxA2S9SNUlqBlkDtXm6"
"199","Metro",2023-10-20,"Zach Seabaugh","3bmlmoASHg6ycjrKV05CP2"
"200","Lincoln Hall",2023-10-20,"Vagabon","17mwzDXKn4ra9cuxXaptwp"
"201","Concord Music Hall",2023-10-20,"HOL!","75YeSAKC6xPhgkjnltCmGB"
"202","The Riviera Theatre",2023-10-21,"Eric Nam","2FLqlgckDKdmpBrvLAT5BM"
"203","The Riviera Theatre",2023-10-21,"Jamie Miller","2LkkwxA19J8C52wPQl5bG6"
"204","Byline Bank Aragon Ballroom",2023-10-21,"Motionless In White","6MwPCCR936cYfM1dLsGVnl"
"205","Byline Bank Aragon Ballroom",2023-10-21,"Knocked Loose","4qrHkx5cgWIslciLXUMrYw"
"206","Byline Bank Aragon Ballroom",2023-10-21,"After the Burial","0uNj4RxFjG0iVPlZS753en"
"207","Byline Bank Aragon Ballroom",2023-10-21,"Alpha Wolf","2tjnvrUmP46XNjFh9V0NGc"
"208","Concord Music Hall",2023-10-21,"Borgore","7u160I5qtBYZTQMLEIJmyz"
"209","Concord Music Hall",2023-10-21,"Yakz","5OHTMczsMClDJMVTqKsXIA"
"210","Radius",2023-10-21,"Anjunabeats","7aqysYAN8bVjQuJSo9PyqR"
"211","Radius",2023-10-21,"Andrew Bayer","5dFuu05x8SPBuymudrTBU8"
"212","Radius",2023-10-21,"Oliver Smith","2Npo4Cfm48M2uKlvxiXMic"
"213","Metro",2023-10-21,"Soft Kill","58rIPw8uw8LW01eQH7Mi7m"
"214","Metro",2023-10-21,"Prize Horse","4pIntP5eVpHl5B8jHXUDtD"
"215","Metro",2023-10-21,"Downward","4UrucNI79ErkrEjHCbXKxU"
"216","Schubas",2023-10-21,"Gatlin","1KGcdM5KxCVydaHe29QAj9"
"217","Schubas",2023-10-21,"BEL","2ts6M8dSQ1GYdVF2ZeCyy6"
"218","The Riviera Theatre",2023-10-22,"Bullet for My Valentine","7iWiAD5LLKyiox2grgfmUT"
"219","The Riviera Theatre",2023-10-22,"Of Mice & Men","4tususHNaR68xdgLstlGBA"
"220","Byline Bank Aragon Ballroom",2023-10-22,"TV Girl","0Y6dVaC9DZtPNH4591M42W"
"221","Byline Bank Aragon Ballroom",2023-10-22,"Monster Rally","3DtnSKmpjFGUzZcccWfG43"
"222","Radius",2023-10-22,"Thievery Corporation","25KNo5GDS6ZpLkjasaecA3"
"223","Radius",2023-10-22,"DJ Shadow","5CE2IfdYZEQGIDsfiRm8SI"
"224","House of Blues",2023-10-22,"Victoria Monét","63XBtGSEZINSyXylZxEUbv"
